data_cad,cpf_beneficiario,datahora_inicio,datahora_fim,atestado_em,dias_ausentes,hora_inicial,hora_final,origem_atestado,outros_tipos_origem,crm_medico,uf_crm,situacao_crm,especialidade_medico,data_atualizacao_crm,nome_local,cidade_local,uf_local,descricao_cid,motivacao,tipo_motivacao,declaracao_de_comparecimento,data_entrega,setor,departamento,centro_de_custo
2021-08-19 19:54:00,863.215.470-26,2023-04-10 22:56:10,2023-07-30 11:32:25,Horas,10,02:02:53,22:19:46,Convenio Saude,,90161,GO,A,Neurologia,2023-07-17,da Mota,Barbosa das Pedras,TO,E05,Consultas,Neurologia,Sim,2023-06-10,ATENDIMENTO,Medico,Externo
2021-03-19 13:33:59,519.482.073-97,2023-01-22 10:37:07,2023-04-17 18:06:44,Horas,5,18:58:18,00:50:07,Posto de Saude,,94638,PI,E,Oftalmologia,2023-02-11,Pinto,Peixoto,PI,A01,Consultas,Oftalmologia,Sim,2023-06-29,LABORATORIO,Pesquisa,Interno
2022-03-17 00:19:46,157.369.480-01,2023-09-21 03:35:21,2023-09-26 22:31:28,Horas,5,12:28:48,19:11:01,Convenio Saude,,63331,RN,D,Psiquiatria,2023-03-09,Gonçalves Duarte - ME,Rocha,PE,D04,Consultas,Psiquiatria,Sim,2023-03-25,COBRANCA,Pesquisa,Interno
2022-12-27 11:24:54,893.207.615-40,2023-06-17 07:42:36,2023-04-29 16:05:33,Dias,5,20:02:55,03:59:00,Hospital,,24255,PE,D,Pneumologia,2023-05-29,da Conceição,Moreira,RO,B02,Consultas,Pneumologia,Nao,2023-05-24,COBRANCA,Comercial,Externo
2020-10-11 19:36:58,965.724.018-20,2023-07-17 08:05:16,2023-02-06 01:42:13,Horas,7,22:15:20,17:47:44,Hospital,,73744,RS,A,Dermatologia,2023-04-10,da Rosa,Novaes,PA,A01,Consultas,Dermatologia,Nao,2023-08-20,COBRANCA,Medico,Externo
2023-08-29 15:21:37,896.510.374-66,2023-06-16 00:27:05,2023-01-17 14:23:32,Dias,2,02:46:13,22:43:43,Hospital,,51617,AL,E,Cardiologia,2023-06-07,Gomes - EI,Pinto,RN,E05,Consultas,Cardiologia,Sim,2023-02-13,ATENDIMENTO,Pesquisa,Interno
2022-05-08 12:17:08,461.097.235-25,2023-08-02 12:43:42,2023-01-12 09:57:59,Horas,7,19:11:39,11:09:49,Clinica Particular,,78805,SP,C,Dermatologia,2023-02-19,da Costa,Cardoso de da Rosa,PI,B02,Consultas,Dermatologia,Nao,2023-01-28,ATENDIMENTO,Pesquisa,Interno
2022-04-11 11:14:58,120.869.437-50,2023-05-14 19:23:49,2023-03-17 18:44:47,Dias,7,03:09:08,18:21:06,Convenio Saude,,61535,AC,E,Cardiologia,2023-04-14,Ribeiro,Duarte,SE,C03,Consultas,Cardiologia,Nao,2023-09-03,COBRANCA,Medico,Interno
2022-06-21 18:21:22,081.629.457-76,2023-07-21 01:37:43,2023-08-29 16:10:22,Horas,9,02:51:14,22:49:57,Convenio Saude,,89766,PA,B,Oftalmologia,2023-07-21,Nascimento,Almeida,ES,A01,Consultas,Oftalmologia,Sim,2023-03-08,LABORATORIO,Comercial,Interno
2022-05-31 20:18:10,249.601.587-94,2023-08-22 18:50:37,2023-08-23 20:25:01,Dias,4,11:45:11,15:45:02,Hospital,,78683,PR,B,Dermatologia,2023-03-23,Gonçalves Vieira - ME,Castro,BA,A01,Consultas,Dermatologia,Sim,2023-09-12,LABORATORIO,Pesquisa,Externo
2022-10-17 22:28:06,138.526.094-70,2023-04-12 23:38:58,2023-04-25 23:41:44,Horas,4,02:00:25,04:13:15,Clinica Particular,,29243,PA,A,Ginecologia,2023-04-25,da Rosa,da Conceição,MT,E05,Consultas,Ginecologia,Nao,2023-06-23,COBRANCA,Medico,Externo
2023-06-24 19:12:22,370.685.241-17,2023-06-03 11:15:33,2023-05-19 20:48:20,Dias,10,16:29:28,00:20:50,Laboratorio,,53206,ES,E,Ginecologia,2023-06-29,da Costa Vieira - ME,Farias de Dias,MA,D04,Consultas,Ginecologia,Nao,2023-01-25,LABORATORIO,Pesquisa,Interno
2021-03-31 08:15:37,649.180.275-20,2023-08-18 01:22:12,2023-11-10 18:11:00,Dias,1,06:58:11,21:54:31,Laboratorio,,96100,AC,A,Cardiologia,2023-10-13,da Paz,Santos,PA,E05,Consultas,Cardiologia,Nao,2023-10-11,COBRANCA,Comercial,Externo
2023-02-05 15:24:10,041.275.968-30,2023-02-09 11:25:04,2023-07-09 20:28:33,Horas,3,01:05:28,04:07:48,Clinica Particular,,52991,PE,A,Ortopedia,2023-05-21,da Costa Cardoso Ltda.,Farias,DF,C03,Consultas,Ortopedia,Sim,2023-06-15,LABORATORIO,Comercial,Interno
2022-01-26 19:17:45,783.196.542-46,2023-10-22 18:53:13,2023-04-23 01:14:40,Dias,8,19:46:18,11:00:44,Clinica Particular,,98220,RN,E,Otorrinolaringologia,2023-03-17,Melo - EI,Vieira,AP,B02,Consultas,Otorrinolaringologia,Sim,2023-06-17,LABORATORIO,Comercial,Externo
2020-02-03 20:50:35,105.947.862-58,2023-06-05 19:25:25,2023-07-02 11:37:58,Horas,4,20:58:16,11:17:26,Hospital,,89147,SP,B,Pneumologia,2023-05-17,Moura,Farias,PA,E05,Consultas,Pneumologia,Sim,2023-03-22,LABORATORIO,Comercial,Interno
2021-02-27 15:16:22,623.104.598-60,2023-08-17 20:59:40,2023-07-21 04:32:36,Dias,6,04:39:50,12:19:33,Laboratorio,,39270,MT,A,Ortopedia,2023-03-19,Gonçalves,Ribeiro,SP,C03,Consultas,Ortopedia,Nao,2023-06-30,LABORATORIO,Pesquisa,Externo
2022-07-12 03:00:50,210.536.987-12,2023-08-11 02:26:21,2023-04-07 02:17:19,Dias,5,02:38:03,21:41:33,Ambulatorio,,25132,SE,D,Pediatria,2023-03-08,da Rocha,da Costa do Oeste,RS,C03,Consultas,Pediatria,Sim,2023-10-25,COBRANCA,Medico,Externo
2023-11-13 00:49:30,904.582.173-79,2023-04-10 17:13:53,2023-06-21 21:02:01,Dias,1,22:27:01,01:32:46,Laboratorio,,96375,CE,C,Ortopedia,2023-08-16,Costela Cardoso S.A.,Pires,GO,B02,Consultas,Ortopedia,Nao,2023-01-23,ATENDIMENTO,Comercial,Externo
2020-09-11 03:14:39,420.198.573-32,2023-10-19 10:11:45,2023-02-04 14:18:47,Dias,2,10:08:16,01:26:17,Clinica Particular,,74971,PE,E,Otorrinolaringologia,2023-03-26,Ribeiro S.A.,Gomes,RS,A01,Consultas,Otorrinolaringologia,Sim,2023-02-26,COBRANCA,Comercial,Interno
2023-05-20 06:46:44,629.504.178-76,2023-11-14 18:04:48,2023-05-13 04:28:42,Horas,10,15:39:01,16:49:21,Laboratorio,,42450,TO,C,Psiquiatria,2023-01-19,Cardoso S.A.,Teixeira da Mata,MS,E05,Consultas,Psiquiatria,Sim,2023-05-12,COBRANCA,Comercial,Externo
2020-01-27 00:01:10,570.241.698-85,2023-08-30 10:50:24,2023-08-30 02:37:00,Horas,10,12:47:05,13:18:16,Hospital,,26806,TO,C,Cardiologia,2023-09-08,Fogaça Ltda.,Santos,MA,A01,Consultas,Cardiologia,Sim,2023-02-08,LABORATORIO,Pesquisa,Externo
2021-01-03 11:14:41,712.853.946-82,2023-07-06 14:14:38,2023-03-14 21:28:03,Horas,9,03:30:18,07:56:41,Posto de Saude,,70194,MS,E,Hematologia,2023-06-02,Gonçalves,da Mota,SC,C03,Consultas,Hematologia,Nao,2023-10-10,COBRANCA,Comercial,Interno
2020-11-14 12:51:05,974.253.801-88,2023-09-16 18:45:03,2023-07-04 15:32:09,Dias,2,17:59:53,22:46:28,Laboratorio,,64592,MT,B,Oftalmologia,2023-04-12,Moura,Moreira,AM,B02,Consultas,Oftalmologia,Nao,2023-07-22,LABORATORIO,Pesquisa,Externo
2023-07-20 11:08:30,719.834.260-40,2023-10-19 23:38:40,2023-02-09 20:26:29,Horas,1,18:29:22,15:27:15,Laboratorio,,53290,RJ,C,Pediatria,2023-10-06,Moreira - ME,Rezende,SP,E05,Consultas,Pediatria,Nao,2023-02-21,LABORATORIO,Medico,Interno
2023-01-29 02:07:55,301.497.285-14,2023-11-03 15:20:20,2023-06-07 14:55:54,Horas,8,05:51:29,01:24:41,Posto de Saude,,14869,MT,C,Otorrinolaringologia,2023-02-10,da Cunha,da Rosa,SP,B02,Consultas,Otorrinolaringologia,Sim,2023-06-17,COBRANCA,Pesquisa,Externo
2021-05-08 20:47:38,297.564.301-25,2023-04-13 02:15:57,2023-05-25 22:52:23,Horas,6,05:56:14,11:15:22,Convenio Saude,,45955,MA,B,Cardiologia,2023-09-23,Dias,Cardoso,BA,C03,Consultas,Cardiologia,Sim,2023-10-04,LABORATORIO,Comercial,Interno
2022-10-11 14:03:59,263.014.587-53,2023-01-02 14:18:40,2023-06-15 19:34:05,Dias,5,18:17:59,23:33:39,Ambulatorio,,71570,AM,B,Pediatria,2023-05-01,Santos - EI,Lopes,DF,D04,Consultas,Pediatria,Sim,2023-07-10,ATENDIMENTO,Pesquisa,Externo
2021-04-14 18:57:37,670.921.385-40,2023-11-08 20:14:45,2023-07-03 03:15:47,Dias,10,17:05:26,02:14:49,Convenio Saude,,28047,ES,A,Ortopedia,2023-09-01,Ferreira S.A.,Martins Paulista,RO,D04,Consultas,Ortopedia,Nao,2023-01-20,COBRANCA,Medico,Interno
2022-11-06 16:09:54,902.174.836-31,2023-05-09 17:55:39,2023-05-10 13:04:10,Horas,4,17:05:46,15:49:07,Clinica Particular,,81629,AM,E,Oftalmologia,2023-02-16,da Costa,Martins,AC,C03,Consultas,Oftalmologia,Sim,2023-10-26,LABORATORIO,Pesquisa,Externo
2020-03-18 04:41:39,871.459.026-30,2023-10-03 17:37:32,2023-04-03 20:15:37,Horas,9,09:41:02,11:48:46,Convenio Saude,,12758,RS,D,Dermatologia,2023-11-14,da Cunha S.A.,Azevedo,RO,B02,Consultas,Dermatologia,Sim,2023-04-29,LABORATORIO,Comercial,Externo
2021-10-23 08:14:04,238.746.091-03,2023-02-26 12:45:17,2023-07-17 05:51:58,Dias,7,07:35:16,14:38:41,Laboratorio,,95764,PI,C,Radiologia,2023-10-18,Gomes,Barbosa do Galho,MA,C03,Consultas,Radiologia,Nao,2023-07-02,LABORATORIO,Pesquisa,Interno
2021-03-27 23:57:01,659.840.173-93,2023-05-09 12:09:38,2023-04-26 21:45:02,Horas,4,23:10:08,04:34:01,Ambulatorio,,49664,SC,B,Neurologia,2023-11-10,Caldeira,Correia,PB,D04,Consultas,Neurologia,Sim,2023-01-06,COBRANCA,Pesquisa,Externo
2020-03-20 21:21:24,390.651.274-61,2023-10-12 22:47:22,2023-10-05 14:24:50,Horas,3,05:44:17,23:07:17,Ambulatorio,,36021,MA,D,Otorrinolaringologia,2023-02-23,Cavalcanti,da Costa,CE,C03,Consultas,Otorrinolaringologia,Nao,2023-06-23,ATENDIMENTO,Medico,Externo
2023-05-31 02:38:55,215.987.304-79,2023-01-11 22:28:51,2023-01-10 11:47:46,Dias,2,22:33:33,09:34:48,Posto de Saude,,38544,ES,E,Urologia,2023-07-02,Barbosa Ltda.,Alves,MS,B02,Consultas,Urologia,Sim,2023-11-07,LABORATORIO,Pesquisa,Interno
2022-06-28 11:02:11,279.380.645-56,2023-05-03 11:52:29,2023-08-21 18:51:27,Horas,7,01:08:06,10:27:54,Hospital,,70284,RS,C,Ginecologia,2023-06-06,Caldeira,Barbosa,MG,B02,Consultas,Ginecologia,Sim,2023-01-27,LABORATORIO,Comercial,Interno
2022-06-15 21:12:47,786.134.502-53,2023-02-17 13:45:39,2023-08-13 11:07:19,Horas,9,01:44:42,08:00:53,Laboratorio,,62815,AL,A,Neurologia,2023-03-05,Silveira Rodrigues e Filhos,Cardoso de Minas,SC,D04,Consultas,Neurologia,Nao,2023-02-08,COBRANCA,Comercial,Interno
2021-07-18 18:06:16,314.628.507-07,2023-03-02 18:27:49,2023-04-16 00:00:45,Horas,5,11:55:02,15:28:44,Clinica Particular,,20888,AL,D,Ortopedia,2023-03-11,Porto - ME,Costa de Moreira,MS,D04,Consultas,Ortopedia,Sim,2023-09-02,ATENDIMENTO,Comercial,Externo
2021-05-09 11:19:18,827.564.139-09,2023-02-17 21:27:19,2023-06-28 16:13:20,Dias,7,19:24:18,04:44:21,Clinica Particular,,58225,RR,D,Otorrinolaringologia,2023-03-28,Nascimento e Filhos,Almeida de Cunha,RR,C03,Consultas,Otorrinolaringologia,Sim,2023-03-25,ATENDIMENTO,Pesquisa,Interno
2021-07-14 19:07:04,261.840.735-08,2023-06-08 01:04:14,2023-07-19 11:12:17,Horas,7,07:13:01,17:46:20,Laboratorio,,77366,SE,A,Pediatria,2023-03-29,Moreira Vieira S.A.,Moraes da Mata,AM,A01,Consultas,Pediatria,Sim,2023-03-08,ATENDIMENTO,Medico,Externo
2022-10-11 04:42:54,923.871.056-21,2023-03-13 19:47:48,2023-11-04 18:07:25,Dias,10,04:21:09,02:52:05,Ambulatorio,,44593,PR,B,Cardiologia,2023-07-10,Costa,Oliveira do Campo,ES,C03,Consultas,Cardiologia,Sim,2023-11-13,ATENDIMENTO,Comercial,Externo
2021-09-16 20:06:35,479.851.326-19,2023-11-18 09:42:26,2023-05-22 17:28:24,Horas,7,00:23:55,13:15:35,Hospital,,70031,SP,E,Pneumologia,2023-10-01,Gomes Pereira S.A.,Pinto de Goiás,MT,C03,Consultas,Pneumologia,Sim,2023-10-17,ATENDIMENTO,Comercial,Externo
2020-02-28 03:57:47,849.275.361-73,2023-05-09 05:09:03,2023-08-03 12:02:01,Horas,10,17:49:57,22:29:17,Clinica Particular,,61039,AM,D,Hematologia,2023-11-19,Vieira Moreira e Filhos,Cavalcanti Paulista,PA,E05,Consultas,Hematologia,Nao,2023-06-02,COBRANCA,Pesquisa,Interno
2020-02-06 08:48:24,049.237.681-69,2023-03-01 07:17:25,2023-08-26 14:47:51,Horas,5,22:59:24,18:35:23,Clinica Particular,,77524,RN,C,Neurologia,2023-02-18,Araújo S/A,Dias,SP,D04,Consultas,Neurologia,Nao,2023-06-02,COBRANCA,Comercial,Interno
2023-06-19 21:08:57,865.132.904-06,2023-04-10 04:16:34,2023-02-12 15:01:39,Dias,8,10:19:26,09:49:38,Convenio Saude,,72633,BA,A,Oftalmologia,2023-04-29,Martins Barbosa Ltda.,Souza,RO,E05,Consultas,Oftalmologia,Nao,2023-05-13,COBRANCA,Comercial,Interno
2020-01-09 11:01:21,849.716.253-64,2023-02-06 15:41:41,2023-07-21 19:53:25,Horas,9,22:06:43,00:40:25,Clinica Particular,,39043,RJ,E,Otorrinolaringologia,2023-02-19,Lima,Porto,BA,A01,Consultas,Otorrinolaringologia,Nao,2023-04-18,COBRANCA,Pesquisa,Interno
2023-03-14 02:25:46,059.826.714-01,2023-09-02 09:01:11,2023-06-03 17:24:16,Dias,1,16:48:07,02:07:53,Hospital,,70457,ES,C,Hematologia,2023-03-09,Pinto,Fernandes do Norte,SE,A01,Consultas,Hematologia,Sim,2023-10-28,COBRANCA,Pesquisa,Externo
2021-06-10 10:02:00,382.759.406-56,2023-11-01 02:07:27,2023-09-02 01:06:13,Horas,6,03:07:03,03:16:06,Laboratorio,,41510,MA,E,Cardiologia,2023-09-23,Pinto,Rodrigues,ES,A01,Consultas,Cardiologia,Sim,2023-07-19,LABORATORIO,Pesquisa,Interno
2020-04-28 12:55:24,785.491.623-37,2023-05-03 15:09:33,2023-06-10 06:22:04,Dias,10,11:00:00,22:00:18,Posto de Saude,,65898,PB,B,Neurologia,2023-09-15,Costela Fogaça S/A,Mendes,AM,C03,Consultas,Neurologia,Sim,2023-07-28,COBRANCA,Medico,Externo
2023-08-12 06:37:11,984.517.203-23,2023-09-08 22:12:15,2023-05-03 10:25:13,Dias,1,23:59:26,23:01:59,Clinica Particular,,61866,MT,B,Psiquiatria,2023-03-19,Aragão e Filhos,Teixeira de Goiás,CE,B02,Consultas,Psiquiatria,Nao,2023-04-01,LABORATORIO,Medico,Interno
2022-12-06 00:35:41,591.078.346-75,2023-02-11 05:49:06,2023-04-18 05:06:49,Horas,4,18:57:28,03:38:19,Laboratorio,,31178,MA,D,Dermatologia,2023-04-15,Cardoso Silva - EI,da Costa,CE,C03,Consultas,Dermatologia,Nao,2023-04-16,ATENDIMENTO,Pesquisa,Interno
2023-09-20 04:29:51,054.783.629-56,2023-04-15 17:14:54,2023-04-25 14:00:46,Dias,10,14:51:26,04:49:11,Posto de Saude,,43212,GO,E,Ortopedia,2023-03-02,Lima Araújo S.A.,Lima,AM,E05,Consultas,Ortopedia,Sim,2023-03-28,LABORATORIO,Pesquisa,Externo
2021-06-03 12:39:16,437.861.029-96,2023-10-10 06:36:59,2023-01-12 10:11:49,Horas,3,13:03:32,04:12:02,Ambulatorio,,61772,DF,B,Psiquiatria,2023-04-27,Peixoto Viana S/A,Fernandes,PB,B02,Consultas,Psiquiatria,Sim,2023-09-11,COBRANCA,Comercial,Externo
2021-08-15 02:27:10,148.726.530-17,2023-07-13 19:43:30,2023-08-21 23:44:28,Dias,7,20:01:32,17:25:31,Posto de Saude,,18046,MG,B,Gastroenterologia,2023-08-05,das Neves - EI,Dias,SC,C03,Consultas,Gastroenterologia,Sim,2023-05-21,COBRANCA,Pesquisa,Interno
2021-11-04 04:16:58,319.056.472-80,2023-05-17 22:00:27,2023-11-14 18:32:25,Horas,5,21:19:44,07:23:23,Convenio Saude,,22112,MA,E,Cardiologia,2023-04-08,da Paz e Filhos,Cardoso,SC,E05,Consultas,Cardiologia,Nao,2023-04-17,COBRANCA,Comercial,Interno
2022-01-16 19:16:11,018.532.947-05,2023-03-11 03:59:38,2023-01-13 21:58:41,Horas,4,01:41:14,02:33:57,Laboratorio,,96161,AL,E,Radiologia,2023-01-17,Moraes S.A.,Vieira,PB,B02,Consultas,Radiologia,Sim,2023-07-27,COBRANCA,Comercial,Externo
2020-11-29 20:29:06,714.923.605-70,2023-07-15 12:36:48,2023-03-12 15:37:50,Dias,5,12:30:37,05:10:03,Laboratorio,,20919,RJ,A,Ginecologia,2023-01-17,da Rocha,Moura de Minas,AP,D04,Consultas,Ginecologia,Sim,2023-02-04,COBRANCA,Comercial,Interno
2023-05-12 09:22:47,427.160.983-87,2023-03-22 02:03:59,2023-07-02 11:34:20,Dias,5,21:34:28,08:20:19,Clinica Particular,,11931,PA,D,Pediatria,2023-03-27,Correia Lopes - EI,Peixoto,RR,C03,Consultas,Pediatria,Nao,2023-02-14,COBRANCA,Pesquisa,Externo
2021-06-16 10:08:54,417.386.095-10,2023-04-17 12:17:35,2023-06-05 11:37:27,Horas,5,08:47:59,13:42:00,Ambulatorio,,89455,SC,E,Pediatria,2023-07-31,da Rosa,Melo de Lopes,CE,E05,Consultas,Pediatria,Nao,2023-03-26,ATENDIMENTO,Medico,Externo
2022-11-21 04:04:55,923.610.574-25,2023-11-05 13:11:06,2023-01-05 08:09:11,Horas,5,21:34:37,13:10:48,Ambulatorio,,33477,AM,E,Oftalmologia,2023-07-30,Costela,da Mata Paulista,RN,D04,Consultas,Oftalmologia,Nao,2023-01-12,LABORATORIO,Medico,Interno
2021-10-24 05:01:55,729.305.481-50,2023-07-08 05:00:57,2023-08-08 10:27:52,Horas,6,05:17:26,02:49:05,Ambulatorio,,19320,RS,A,Pneumologia,2023-07-31,Pereira - EI,Lopes dos Dourados,AP,D04,Consultas,Pneumologia,Nao,2023-01-02,ATENDIMENTO,Comercial,Interno
2020-04-27 05:03:31,928.641.037-96,2023-08-25 04:39:07,2023-10-07 02:33:53,Horas,5,23:24:57,15:01:32,Posto de Saude,,29872,PB,E,Urologia,2023-07-31,Aragão Ltda.,Alves,MS,C03,Consultas,Urologia,Sim,2023-02-03,COBRANCA,Medico,Interno
2022-07-28 10:17:18,526.108.397-40,2023-06-05 18:15:00,2023-07-13 22:12:40,Dias,2,21:25:10,03:58:03,Posto de Saude,,39821,AL,D,Dermatologia,2023-05-02,Ferreira,Almeida da Serra,RJ,D04,Consultas,Dermatologia,Sim,2023-11-03,COBRANCA,Pesquisa,Externo
2023-11-19 22:12:59,407.823.965-00,2023-05-19 14:23:47,2023-02-11 12:15:04,Horas,9,08:29:43,04:26:33,Ambulatorio,,29450,SE,D,Pediatria,2023-08-19,Nogueira Silva Ltda.,Mendes,AP,E05,Consultas,Pediatria,Sim,2023-04-30,ATENDIMENTO,Medico,Interno
2021-10-30 23:25:51,415.830.296-05,2023-05-07 05:22:02,2023-05-13 20:29:07,Horas,6,08:28:00,04:39:04,Convenio Saude,,96108,PB,C,Oftalmologia,2023-06-04,Mendes S.A.,Nunes do Galho,GO,A01,Consultas,Oftalmologia,Sim,2023-07-07,COBRANCA,Medico,Interno
2020-04-17 10:42:59,902.461.375-25,2023-05-04 01:33:59,2023-07-01 12:16:59,Dias,5,09:40:01,13:41:32,Ambulatorio,,17546,PB,D,Otorrinolaringologia,2023-02-04,Correia,Ferreira de Goiás,TO,D04,Consultas,Otorrinolaringologia,Nao,2023-09-30,LABORATORIO,Comercial,Externo
2021-07-05 02:26:24,608.274.915-49,2023-03-04 21:54:09,2023-07-06 20:06:11,Dias,8,20:53:01,10:05:34,Posto de Saude,,57288,SE,B,Radiologia,2023-06-07,Rocha,Silva,TO,B02,Consultas,Radiologia,Sim,2023-09-22,ATENDIMENTO,Comercial,Interno
2020-03-11 14:57:41,571.620.398-12,2023-08-11 22:29:28,2023-06-21 21:51:52,Horas,5,04:09:40,21:40:08,Posto de Saude,,32206,RR,E,Pediatria,2023-06-04,Duarte Ltda.,da Luz,PE,E05,Consultas,Pediatria,Sim,2023-10-18,COBRANCA,Comercial,Externo
2023-02-25 19:39:37,531.042.987-50,2023-03-01 03:38:24,2023-01-06 00:10:39,Horas,8,10:48:26,11:20:33,Clinica Particular,,14066,AM,D,Ortopedia,2023-08-29,Fernandes,da Paz,SP,D04,Consultas,Ortopedia,Nao,2023-10-16,COBRANCA,Medico,Externo
2023-03-26 06:48:57,301.489.526-15,2023-04-12 19:07:09,2023-04-28 03:44:45,Dias,3,07:37:56,14:33:10,Clinica Particular,,46744,PR,B,Urologia,2023-11-02,Pires S.A.,Sales da Prata,AL,C03,Consultas,Urologia,Nao,2023-10-26,COBRANCA,Pesquisa,Interno
2021-11-18 12:30:36,739.640.218-22,2023-09-20 23:24:04,2023-01-20 19:49:11,Dias,8,18:16:30,03:22:08,Clinica Particular,,46789,SC,D,Cardiologia,2023-11-11,Souza Ltda.,da Mota da Mata,PB,C03,Consultas,Cardiologia,Sim,2023-11-13,ATENDIMENTO,Medico,Interno
2022-10-13 21:15:42,583.716.492-82,2023-10-22 07:13:46,2023-11-03 12:43:45,Horas,1,12:42:55,23:17:37,Posto de Saude,,36371,AL,D,Dermatologia,2023-04-12,Rocha,Moreira de Castro,PI,A01,Consultas,Dermatologia,Nao,2023-01-19,LABORATORIO,Medico,Interno
2020-03-13 20:42:59,294.078.163-03,2023-10-18 02:20:37,2023-01-26 19:00:47,Dias,2,03:56:25,14:24:09,Laboratorio,,85617,RO,A,Ginecologia,2023-08-27,Costela - ME,Dias,RJ,D04,Consultas,Ginecologia,Nao,2023-01-16,LABORATORIO,Medico,Interno
2021-12-10 21:38:19,419.230.568-24,2023-11-20 08:07:49,2023-10-24 04:31:26,Dias,10,07:13:52,00:08:21,Laboratorio,,68204,RR,A,Otorrinolaringologia,2023-03-09,Costa,da Rocha dos Dourados,AM,C03,Consultas,Otorrinolaringologia,Sim,2023-03-29,ATENDIMENTO,Comercial,Interno
2020-06-30 13:56:04,307.265.819-68,2023-09-04 01:12:18,2023-07-07 08:11:42,Dias,1,12:13:26,18:17:37,Hospital,,46267,MG,A,Pediatria,2023-05-25,das Neves - EI,Jesus de Alves,RS,C03,Consultas,Pediatria,Sim,2023-05-22,COBRANCA,Comercial,Externo
2021-06-15 00:47:16,692.453.071-07,2023-10-19 15:12:22,2023-01-14 02:53:02,Horas,6,15:23:34,15:24:52,Posto de Saude,,48591,CE,E,Pediatria,2023-06-12,Monteiro,Azevedo,MS,C03,Consultas,Pediatria,Nao,2023-05-28,LABORATORIO,Pesquisa,Interno
